,*,1,2,3,4,5,**,wb,eta,pot_elec
86,[,0.68157,0.68157,0.68157,0.68157,0.68157,],1.1633,0.606809,-2.64623
87,[,0.6813,0.6813,0.6813,0.6813,0.6813,],1.16284,0.607163,-2.64617
88,[,0.68103,0.68103,0.68103,0.68103,0.68103,],1.16238,0.60752,-2.64611
89,[,0.68075,0.68075,0.68075,0.68075,0.68075,],1.16191,0.607879,-2.64604
90,[,0.68047,0.68047,0.68047,0.68047,0.68047,],1.16144,0.60824,-2.64597
91,[,0.68018,0.68018,0.68018,0.68018,0.68018,],1.16097,0.608603,-2.6459
92,[,0.6799,0.6799,0.6799,0.6799,0.6799,],1.1605,0.608969,-2.64582
93,[,0.67961,0.67961,0.67961,0.67961,0.67961,],1.16002,0.609336,-2.64574
94,[,0.67932,0.67932,0.67932,0.67932,0.67932,],1.15954,0.609705,-2.64566
95,[,0.67902,0.67902,0.67902,0.67902,0.67902,],1.15906,0.610075,-2.64557
96,[,0.67872,0.67872,0.67872,0.67872,0.67872,],1.15857,0.610448,-2.64548
97,[,0.67842,0.67842,0.67842,0.67842,0.67842,],1.15809,0.610821,-2.64538
98,[,0.67812,0.67812,0.67812,0.67812,0.67812,],1.1576,0.611196,-2.64528
99,[,0.67782,0.67782,0.67782,0.67782,0.67782,],1.15711,0.611571,-2.64517
100,[,0.67751,0.67751,0.67751,0.67751,0.67751,],1.15662,0.611948,-2.64506
101,[,0.6772,0.6772,0.6772,0.6772,0.6772,],1.15613,0.612324,-2.64494
102,[,0.67688,0.67688,0.67688,0.67688,0.67688,],1.15564,0.612701,-2.64481
103,[,0.67657,0.67657,0.67657,0.67657,0.67657,],1.15515,0.613077,-2.64468
104,[,0.67625,0.67625,0.67625,0.67625,0.67625,],1.15466,0.613453,-2.64454
105,[,0.67592,0.67592,0.67592,0.67592,0.67592,],1.15418,0.613828,-2.64438
106,[,0.6756,0.6756,0.6756,0.6756,0.6756,],1.15369,0.614201,-2.64422
107,[,0.67527,0.67527,0.67527,0.67527,0.67527,],1.15321,0.614571,-2.64405
108,[,0.67494,0.67494,0.67494,0.67494,0.67494,],1.15273,0.614939,-2.64387
109,[,0.67461,0.67461,0.67461,0.67461,0.67461,],1.15225,0.615303,-2.64367
110,[,0.67427,0.67427,0.67427,0.67427,0.67427,],1.15179,0.615663,-2.64346
111,[,0.67394,0.67394,0.67394,0.67394,0.67394,],1.15132,0.616017,-2.64323
112,[,0.6736,0.6736,0.6736,0.6736,0.6736,],1.15087,0.616365,-2.64299
113,[,0.67325,0.67325,0.67325,0.67325,0.67325,],1.15043,0.616706,-2.64273
114,[,0.67291,0.67291,0.67291,0.67291,0.67291,],1.14999,0.617038,-2.64244
115,[,0.67256,0.67256,0.67256,0.67256,0.67256,],1.14957,0.617361,-2.64213
116,[,0.67221,0.67221,0.67221,0.67221,0.67221,],1.14917,0.617672,-2.6418
117,[,0.67186,0.67186,0.67186,0.67186,0.67186,],1.14878,0.61797,-2.64144
118,[,0.6715,0.6715,0.6715,0.6715,0.6715,],1.14841,0.618252,-2.64104
119,[,0.67115,0.67115,0.67115,0.67115,0.67115,],1.14806,0.618518,-2.64061
120,[,0.67079,0.67079,0.67079,0.67079,0.67079,],1.14774,0.618765,-2.64014
121,[,0.67043,0.67043,0.67043,0.67043,0.67043,],1.14745,0.61899,-2.63963
122,[,0.67006,0.67006,0.67006,0.67006,0.67006,],1.14719,0.61919,-2.63907
123,[,0.6697,0.6697,0.6697,0.6697,0.6697,],1.14696,0.619362,-2.63846
124,[,0.66933,0.66933,0.66933,0.66933,0.66933,],1.14678,0.619503,-2.63779
125,[,0.66897,0.66897,0.66897,0.66897,0.66897,],1.14664,0.619609,-2.63706
126,[,0.6686,0.6686,0.6686,0.6686,0.6686,],1.14655,0.619676,-2.63625
127,[,0.66823,0.66823,0.66823,0.66823,0.66823,],1.14652,0.619699,-2.63537
128,[,0.66786,0.66786,0.66786,0.66786,0.66786,],1.14656,0.619672,-2.63439
129,[,0.66748,0.66748,0.66748,0.66748,0.66748,],1.14666,0.619591,-2.63332
130,[,0.66711,0.66711,0.66711,0.66711,0.66711,],1.14685,0.619448,-2.63214
131,[,0.66674,0.66674,0.66674,0.66674,0.66674,],1.14713,0.619236,-2.63084
132,[,0.66637,0.66637,0.66637,0.66637,0.66637,],1.1475,0.618949,-2.62941
133,[,0.666,0.666,0.666,0.666,0.666,],1.14799,0.618576,-2.62784
134,[,0.66563,0.66563,0.66563,0.66563,0.66563,],1.1486,0.61811,-2.6261
135,[,0.66526,0.66526,0.66526,0.66526,0.66526,],1.14934,0.617538,-2.62418
136,[,0.66489,0.66489,0.66489,0.66489,0.66489,],1.15024,0.61685,-2.62206
137,[,0.66452,0.66452,0.66452,0.66452,0.66452,],1.1513,0.616033,-2.61972
138,[,0.66416,0.66416,0.66416,0.66416,0.66416,],1.15255,0.615073,-2.61714
139,[,0.66379,0.66379,0.66379,0.66379,0.66379,],1.15401,0.613955,-2.61428
140,[,0.66344,0.66344,0.66344,0.66344,0.66344,],1.15569,0.612662,-2.61113
141,[,0.66308,0.66308,0.66308,0.66308,0.66308,],1.15763,0.611174,-2.60764
142,[,0.66273,0.66273,0.66273,0.66273,0.66273,],1.15984,0.609473,-2.60379
143,[,0.66238,0.66238,0.66238,0.66238,0.66238,],1.16236,0.607535,-2.59953
144,[,0.66204,0.66204,0.66204,0.66204,0.66204,],1.16521,0.605336,-2.59482
145,[,0.66171,0.66171,0.66171,0.66171,0.66171,],1.16844,0.60285,-2.58962
146,[,0.66138,0.66138,0.66138,0.66138,0.66138,],1.17207,0.600048,-2.58386
147,[,0.66106,0.66106,0.66106,0.66106,0.66106,],1.17615,0.596898,-2.5775
148,[,0.66074,0.66074,0.66074,0.66074,0.66074,],1.18071,0.593365,-2.57047
149,[,0.66044,0.66044,0.66044,0.66044,0.66044,],1.18582,0.589413,-2.5627
150,[,0.66014,0.66014,0.66014,0.66014,0.66014,],1.1915,0.585001,-2.55411
151,[,0.65985,0.65985,0.65985,0.65985,0.65985,],1.19783,0.580084,-2.54462
152,[,0.65957,0.65957,0.65957,0.65957,0.65957,],1.20485,0.574617,-2.53413
