,*,1,2,3,4,5,**,wb,eta,pot_elec
302,[,1.0057,1.0057,1.0057,1.0057,1.0057,],-1.0,1.0,-0.014205
303,[,1.0055,1.0055,1.0055,1.0055,1.0055,],-1.0,1.0,-0.0136865
304,[,1.0053,1.0053,1.0053,1.0053,1.0053,],-1.0,1.0,-0.013187
305,[,1.0051,1.0051,1.0051,1.0051,1.0051,],-1.0,1.0,-0.0127056
306,[,1.0049,1.0049,1.0049,1.0049,1.0049,],-1.0,1.0,-0.0122419
307,[,1.0047,1.0047,1.0047,1.0047,1.0047,],-1.0,1.0,-0.011795
308,[,1.0045,1.0045,1.0045,1.0045,1.0045,],-1.0,1.0,-0.0113645
309,[,1.0044,1.0044,1.0044,1.0044,1.0044,],-1.0,1.0,-0.0109497
310,[,1.0042,1.0042,1.0042,1.0042,1.0042,],-1.0,1.0,-0.01055
311,[,1.0041,1.0041,1.0041,1.0041,1.0041,],-1.0,1.0,-0.0101649
312,[,1.0039,1.0039,1.0039,1.0039,1.0039,],-1.0,1.0,-0.0097939
313,[,1.0038,1.0038,1.0038,1.0038,1.0038,],-1.0,1.0,-0.00943641
314,[,1.0036,1.0036,1.0036,1.0036,1.0036,],-1.0,1.0,-0.00909198
315,[,1.0035,1.0035,1.0035,1.0035,1.0035,],-1.0,1.0,-0.00876011
316,[,1.0034,1.0034,1.0034,1.0034,1.0034,],-1.0,1.0,-0.00844036
317,[,1.0033,1.0033,1.0033,1.0033,1.0033,],-1.0,1.0,-0.00813228
318,[,1.0031,1.0031,1.0031,1.0031,1.0031,],-1.0,1.0,-0.00783545
319,[,1.003,1.003,1.003,1.003,1.003,],-1.0,1.0,-0.00754945
320,[,1.0029,1.0029,1.0029,1.0029,1.0029,],-1.0,1.0,-0.00727389
321,[,1.0028,1.0028,1.0028,1.0028,1.0028,],-1.0,1.0,-0.00700839
322,[,1.0027,1.0027,1.0027,1.0027,1.0027,],-1.0,1.0,-0.00675258
323,[,1.0026,1.0026,1.0026,1.0026,1.0026,],-1.0,1.0,-0.0065061
324,[,1.0025,1.0025,1.0025,1.0025,1.0025,],-1.0,1.0,-0.00626862
325,[,1.0024,1.0024,1.0024,1.0024,1.0024,],-1.0,1.0,-0.00603982
326,[,1.0023,1.0023,1.0023,1.0023,1.0023,],-1.0,1.0,-0.00581936
327,[,1.0022,1.0022,1.0022,1.0022,1.0022,],-1.0,1.0,-0.00560695
328,[,1.0022,1.0022,1.0022,1.0022,1.0022,],-1.0,1.0,-0.00540229
329,[,1.0021,1.0021,1.0021,1.0021,1.0021,],-1.0,1.0,-0.0052051
330,[,1.002,1.002,1.002,1.002,1.002,],-1.0,1.0,-0.00501511
331,[,1.0019,1.0019,1.0019,1.0019,1.0019,],-1.0,1.0,-0.00483206
332,[,1.0019,1.0019,1.0019,1.0019,1.0019,],-1.0,1.0,-0.00465568
333,[,1.0018,1.0018,1.0018,1.0018,1.0018,],-1.0,1.0,-0.00448575
334,[,1.0017,1.0017,1.0017,1.0017,1.0017,],-1.0,1.0,-0.00432202
335,[,1.0017,1.0017,1.0017,1.0017,1.0017,],-1.0,1.0,-0.00416426
336,[,1.0016,1.0016,1.0016,1.0016,1.0016,],-1.0,1.0,-0.00401226
337,[,1.0015,1.0015,1.0015,1.0015,1.0015,],-1.0,1.0,-0.00386581
338,[,1.0015,1.0015,1.0015,1.0015,1.0015,],-1.0,1.0,-0.00372471
339,[,1.0014,1.0014,1.0014,1.0014,1.0014,],-1.0,1.0,-0.00358875
340,[,1.0014,1.0014,1.0014,1.0014,1.0014,],-1.0,1.0,-0.00345776
341,[,1.0013,1.0013,1.0013,1.0013,1.0013,],-1.0,1.0,-0.00333155
342,[,1.0013,1.0013,1.0013,1.0013,1.0013,],-1.0,1.0,-0.00320995
343,[,1.0012,1.0012,1.0012,1.0012,1.0012,],-1.0,1.0,-0.00309278
344,[,1.0012,1.0012,1.0012,1.0012,1.0012,],-1.0,1.0,-0.00297989
345,[,1.0011,1.0011,1.0011,1.0011,1.0011,],-1.0,1.0,-0.00287112
346,[,1.0011,1.0011,1.0011,1.0011,1.0011,],-1.0,1.0,-0.00276633
347,[,1.0011,1.0011,1.0011,1.0011,1.0011,],-1.0,1.0,-0.00266535
348,[,1.001,1.001,1.001,1.001,1.001,],-1.0,1.0,-0.00256807
349,[,1.001,1.001,1.001,1.001,1.001,],-1.0,1.0,-0.00247433
350,[,1.001,1.001,1.001,1.001,1.001,],-1.0,1.0,-0.00238402
351,[,1.0009,1.0009,1.0009,1.0009,1.0009,],-1.0,1.0,-0.002297
352,[,1.0009,1.0009,1.0009,1.0009,1.0009,],-1.0,1.0,-0.00221316
353,[,1.0009,1.0009,1.0009,1.0009,1.0009,],-1.0,1.0,-0.00213237
354,[,1.0008,1.0008,1.0008,1.0008,1.0008,],-1.0,1.0,-0.00205454
355,[,1.0008,1.0008,1.0008,1.0008,1.0008,],-1.0,1.0,-0.00197955
356,[,1.0008,1.0008,1.0008,1.0008,1.0008,],-1.0,1.0,-0.00190729
357,[,1.0007,1.0007,1.0007,1.0007,1.0007,],-1.0,1.0,-0.00183768
358,[,1.0007,1.0007,1.0007,1.0007,1.0007,],-1.0,1.0,-0.0017706
359,[,1.0007,1.0007,1.0007,1.0007,1.0007,],-1.0,1.0,-0.00170597
360,[,1.0007,1.0007,1.0007,1.0007,1.0007,],-1.0,1.0,-0.0016437
361,[,1.0006,1.0006,1.0006,1.0006,1.0006,],-1.0,1.0,-0.00158371
362,[,1.0006,1.0006,1.0006,1.0006,1.0006,],-1.0,1.0,-0.0015259
363,[,1.0006,1.0006,1.0006,1.0006,1.0006,],-1.0,1.0,-0.0014702
364,[,1.0006,1.0006,1.0006,1.0006,1.0006,],-1.0,1.0,-0.00141654
365,[,1.0005,1.0005,1.0005,1.0005,1.0005,],-1.0,1.0,-0.00136484
366,[,1.0005,1.0005,1.0005,1.0005,1.0005,],-1.0,1.0,-0.00131502
367,[,1.0005,1.0005,1.0005,1.0005,1.0005,],-1.0,1.0,-0.00126702
368,[,1.0005,1.0005,1.0005,1.0005,1.0005,],-1.0,1.0,-0.00122077
369,[,1.0005,1.0005,1.0005,1.0005,1.0005,],-1.0,1.0,-0.00117621
370,[,1.0005,1.0005,1.0005,1.0005,1.0005,],-1.0,1.0,-0.00113328
371,[,1.0004,1.0004,1.0004,1.0004,1.0004,],-1.0,1.0,-0.00109192
372,[,1.0004,1.0004,1.0004,1.0004,1.0004,],-1.0,1.0,-0.00105206
373,[,1.0004,1.0004,1.0004,1.0004,1.0004,],-1.0,1.0,-0.00101366
374,[,1.0004,1.0004,1.0004,1.0004,1.0004,],-1.0,1.0,-0.000976659
375,[,1.0004,1.0004,1.0004,1.0004,1.0004,],-1.0,1.0,-0.000941011
376,[,1.0004,1.0004,1.0004,1.0004,1.0004,],-1.0,1.0,-0.000906663
377,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000873569
378,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000841684
379,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000810962
380,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000781361
381,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000752841
382,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000725362
383,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000698885
384,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000673376
385,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000648797
386,[,1.0003,1.0003,1.0003,1.0003,1.0003,],-1.0,1.0,-0.000625115
387,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000602298
388,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000580314
389,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000559132
390,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000538724
391,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.00051906
392,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000500114
393,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000481859
394,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000464271
395,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000447325
396,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000430997
397,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000415266
398,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000400108
399,[,1.0002,1.0002,1.0002,1.0002,1.0002,],-1.0,1.0,-0.000385504
400,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000371433
401,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000357875
402,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000344813
403,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000332227
404,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.0003201
405,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000308416
406,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000297159
407,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000286312
408,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000275862
409,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000265793
410,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000256091
411,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000246744
412,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000237737
413,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.00022906
414,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000220699
415,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000212643
416,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000204882
417,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000197403
418,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000190198
419,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000183256
420,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000176567
421,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000170122
422,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000163912
423,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000157929
424,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000152165
425,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000146611
426,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000141259
427,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000136103
428,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000131135
429,[,1.0001,1.0001,1.0001,1.0001,1.0001,],-1.0,1.0,-0.000126349
430,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-0.000121737
431,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-0.000117294
432,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-0.000113012
433,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-0.000108887
434,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-0.000104913
435,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-0.000101083
436,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.73938e-05
437,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.38389e-05
438,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.04137e-05
439,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.71136e-05
440,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.39339e-05
441,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.08702e-05
442,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.79184e-05
443,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.50743e-05
444,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.23341e-05
445,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.96938e-05
446,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.71499e-05
447,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.46989e-05
448,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.23374e-05
449,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.0062e-05
450,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.78697e-05
451,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.57574e-05
452,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.37223e-05
453,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.17614e-05
454,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.9872e-05
455,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.80517e-05
456,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.62978e-05
457,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.46079e-05
458,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.29796e-05
459,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.14108e-05
460,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.98993e-05
461,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.8443e-05
462,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.70398e-05
463,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.56878e-05
464,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.43852e-05
465,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.31301e-05
466,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.19208e-05
467,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.07557e-05
468,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.96331e-05
469,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.85515e-05
470,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.75093e-05
471,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.65052e-05
472,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.55377e-05
473,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.46056e-05
474,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.37075e-05
475,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.28421e-05
476,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.20084e-05
477,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.12051e-05
478,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.04311e-05
479,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.96853e-05
480,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.89668e-05
481,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.82745e-05
482,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.76074e-05
483,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.69648e-05
484,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.63455e-05
485,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.57489e-05
486,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.51741e-05
487,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.46202e-05
488,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.40865e-05
489,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.35724e-05
490,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.3077e-05
491,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.25996e-05
492,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.21398e-05
493,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.16966e-05
494,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.12697e-05
495,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.08583e-05
496,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.0462e-05
497,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.00801e-05
498,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.7122e-06
499,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.35769e-06
500,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.01613e-06
501,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.68703e-06
502,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.36994e-06
503,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.06443e-06
504,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.77007e-06
505,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.48645e-06
506,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.21318e-06
507,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.94989e-06
508,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.69621e-06
509,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.45179e-06
510,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.21629e-06
511,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.98938e-06
512,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.77076e-06
513,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.56012e-06
514,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.35716e-06
515,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.16162e-06
516,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.97321e-06
517,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.79167e-06
518,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.61677e-06
519,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.44824e-06
520,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.28587e-06
521,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.12942e-06
522,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.97869e-06
523,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.83345e-06
524,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.69352e-06
525,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.55869e-06
526,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.42879e-06
527,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.30363e-06
528,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.18303e-06
529,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.06683e-06
530,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.95488e-06
531,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.84701e-06
532,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.74308e-06
533,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.64294e-06
534,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.54646e-06
535,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.4535e-06
536,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.36393e-06
537,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.27763e-06
538,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.19447e-06
539,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.11436e-06
540,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.03716e-06
541,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.96279e-06
542,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.89113e-06
543,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.82208e-06
544,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.75555e-06
545,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.69145e-06
546,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.62969e-06
547,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.57018e-06
548,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.51284e-06
549,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.4576e-06
550,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.40437e-06
551,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.35308e-06
552,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.30366e-06
553,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.25605e-06
554,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.21017e-06
555,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.16597e-06
556,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.12338e-06
557,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.08234e-06
558,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.0428e-06
559,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.0047e-06
560,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.67989e-07
561,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-9.32618e-07
562,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.98536e-07
563,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.65696e-07
564,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.34054e-07
565,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-8.03564e-07
566,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.74186e-07
567,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.45879e-07
568,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-7.18602e-07
569,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.9232e-07
570,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.66995e-07
571,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.42592e-07
572,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-6.19078e-07
573,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.96419e-07
574,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.74586e-07
575,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.53547e-07
576,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.33273e-07
577,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-5.13737e-07
578,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.94911e-07
579,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.76769e-07
580,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.59287e-07
581,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.4244e-07
582,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.26204e-07
583,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-4.10558e-07
584,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.9548e-07
585,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.80949e-07
586,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.66944e-07
587,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.53447e-07
588,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.40438e-07
589,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.279e-07
590,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.15816e-07
591,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-3.04168e-07
592,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.92941e-07
593,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.82119e-07
594,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.71687e-07
595,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.61631e-07
596,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.51936e-07
597,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.4259e-07
598,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.33579e-07
599,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.24892e-07
600,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.16515e-07
601,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.08438e-07
602,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-2.00649e-07
603,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.93137e-07
604,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.85892e-07
605,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.78905e-07
606,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.72165e-07
607,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.65662e-07
608,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.59389e-07
609,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.53337e-07
610,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.47496e-07
611,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.4186e-07
612,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.36419e-07
613,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.31167e-07
614,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.26097e-07
615,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.21201e-07
616,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.16472e-07
617,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.11905e-07
618,[,1.0,1.0,1.0,1.0,1.0,],-1.0,1.0,-1.07492e-07
