[	5.78560e-01	5.78560e-01	5.78560e-01	5.78560e-01	5.78560e-01	]	-1.00000e+00	1.00000e+00	1.70502e+00
[	5.23330e-01	5.23330e-01	5.23330e-01	5.23330e-01	5.23330e-01	]	-9.47173e-01	1.00120e+00	1.70502e+00
[	4.71610e-01	4.71610e-01	4.71610e-01	4.71610e-01	4.71610e-01	]	-8.90900e-01	9.99427e-01	1.70827e+00
[	4.27250e-01	4.27250e-01	4.27250e-01	4.27250e-01	4.27250e-01	]	-8.35300e-01	9.94744e-01	1.71432e+00
[	3.86770e-01	3.86770e-01	3.86770e-01	3.86770e-01	3.86770e-01	]	-7.76209e-01	9.86753e-01	1.72280e+00
[	3.50070e-01	3.50070e-01	3.50070e-01	3.50070e-01	3.50070e-01	]	-7.12423e-01	9.74840e-01	1.73332e+00
[	3.17880e-01	3.17880e-01	3.17880e-01	3.17880e-01	3.17880e-01	]	-6.43522e-01	9.58377e-01	1.74551e+00
[	2.91340e-01	2.91340e-01	2.91340e-01	2.91340e-01	2.91340e-01	]	-5.69969e-01	9.36956e-01	1.75899e+00
[	2.71630e-01	2.71630e-01	2.71630e-01	2.71630e-01	2.71630e-01	]	-4.93163e-01	9.10645e-01	1.77340e+00
[	2.59380e-01	2.59380e-01	2.59380e-01	2.59380e-01	2.59380e-01	]	-4.15347e-01	8.80183e-01	1.78838e+00
[	2.54450e-01	2.54450e-01	2.54450e-01	2.54450e-01	2.54450e-01	]	-3.39333e-01	8.47001e-01	1.80362e+00
[	2.55830e-01	2.55830e-01	2.55830e-01	2.55830e-01	2.55830e-01	]	-2.68052e-01	8.13032e-01	1.81884e+00
[	2.61850e-01	2.61850e-01	2.61850e-01	2.61850e-01	2.61850e-01	]	-2.04034e-01	7.80332e-01	1.83380e+00
[	2.70650e-01	2.70650e-01	2.70650e-01	2.70650e-01	2.70650e-01	]	-1.49004e-01	7.50665e-01	1.84831e+00
[	2.80550e-01	2.80550e-01	2.80550e-01	2.80550e-01	2.80550e-01	]	-1.03694e-01	7.25216e-01	1.86223e+00
[	2.90320e-01	2.90320e-01	2.90320e-01	2.90320e-01	2.90320e-01	]	-6.79184e-02	7.04498e-01	1.87547e+00
[	2.99180e-01	2.99180e-01	2.99180e-01	2.99180e-01	2.99180e-01	]	-4.08190e-02	6.88452e-01	1.88796e+00
[	3.06810e-01	3.06810e-01	3.06810e-01	3.06810e-01	3.06810e-01	]	-2.11640e-02	6.76628e-01	1.89967e+00
[	3.13120e-01	3.13120e-01	3.13120e-01	3.13120e-01	3.13120e-01	]	-7.60756e-03	6.68384e-01	1.91060e+00
[	3.18240e-01	3.18240e-01	3.18240e-01	3.18240e-01	3.18240e-01	]	1.13273e-03	6.63031e-01	1.92074e+00
[	3.22310e-01	3.22310e-01	3.22310e-01	3.22310e-01	3.22310e-01	]	6.18126e-03	6.59926e-01	1.93014e+00
