[	8.06510e-01	]	-1.00000e+00	1.00000e+00	-1.73289e+00
[	7.42840e-01	]	-9.52627e-01	1.00815e+00	-1.73289e+00
[	6.83490e-01	]	-9.03574e-01	1.01388e+00	-1.73623e+00
[	6.38650e-01	]	-8.62125e-01	1.01668e+00	-1.74250e+00
[	5.99010e-01	]	-8.21374e-01	1.01767e+00	-1.75136e+00
[	5.62200e-01	]	-7.79213e-01	1.01695e+00	-1.76251e+00
[	5.26900e-01	]	-7.33952e-01	1.01427e+00	-1.77567e+00
[	4.92660e-01	]	-6.84298e-01	1.00917e+00	-1.79056e+00
[	4.59780e-01	]	-6.29413e-01	1.00102e+00	-1.80688e+00
[	4.29190e-01	]	-5.69025e-01	9.89175e-01	-1.82432e+00
[	4.02210e-01	]	-5.03562e-01	9.73128e-01	-1.84258e+00
[	3.80260e-01	]	-4.34235e-01	9.52724e-01	-1.86134e+00
[	3.64410e-01	]	-3.63023e-01	9.28356e-01	-1.88030e+00
[	3.55100e-01	]	-2.92483e-01	9.01043e-01	-1.89916e+00
[	3.51920e-01	]	-2.25402e-01	8.72335e-01	-1.91768e+00
[	3.53740e-01	]	-1.64339e-01	8.44034e-01	-1.93562e+00
[	3.59040e-01	]	-1.11223e-01	8.17833e-01	-1.95282e+00
[	3.66290e-01	]	-6.71024e-02	7.95008e-01	-1.96915e+00
[	3.74190e-01	]	-3.21415e-02	7.76267e-01	-1.98452e+00
[	3.81850e-01	]	-5.78453e-03	7.61768e-01	-1.99887e+00
[	3.88770e-01	]	1.29817e-02	7.51257e-01	-2.01219e+00
[	3.94730e-01	]	2.53752e-02	7.44231e-01	-2.02448e+00
[	3.99710e-01	]	3.26261e-02	7.40089e-01	-2.03576e+00
[	4.03790e-01	]	3.58593e-02	7.38235e-01	-2.04606e+00
[	4.07100e-01	]	3.60395e-02	7.38132e-01	-2.05544e+00
[	4.09770e-01	]	3.39588e-02	7.39325e-01	-2.06394e+00
[	4.11920e-01	]	3.02488e-02	7.41449e-01	-2.07162e+00
[	4.13650e-01	]	2.54019e-02	7.44215e-01	-2.07853e+00
[	4.15050e-01	]	1.97964e-02	7.47402e-01	-2.08472e+00
[	4.16190e-01	]	1.37196e-02	7.50840e-01	-2.09026e+00
[	4.17120e-01	]	7.38768e-03	7.54406e-01	-2.09519e+00
[	4.17870e-01	]	9.61555e-04	7.58007e-01	-2.09957e+00
